StartX,StartY,TargetWidth,Velocity,DirectionAngle,Duration,RectLeft,RectTop,tMouse_X,Mouse_Y,IfClick
-185,33,16,256,113.3880697,780,367.7510343,568.2382253,322,581,0
-150,-12,32,256,140.329261,805,315.7781363,463.2218808,362,456,0
-153,-54,32,128,322.8089223,963,569.7799149,215.0462056,562,234,0
-113,62,32,128,128.9806738,957,433.7799292,501.4246408,458,506,1
140,47,32,64,59.56745203,835,790.8994822,436.789441,801,452,1
-160,10,16,128,79.45485624,909,493.266568,476.2417158,491,460,0
14,153,64,192,174.8644238,703,488.1338646,493.0310215,537,522,1
146,3,32,64,106.0273767,965,752.8697017,406.6328961,769,410,1
-71,106,16,128,22.61962184,743,649.0732732,494.6967586,649,504,1
-21,139,32,192,119.4380637,954,513.194554,642.1317119,533,618,0
117,-62,32,256,23.96993269,905,952.1686766,375.8856007,944,394,0
153,44,96,64,238.2266029,846,716.6830153,310.2819952,744,351,1
-25,175,96,128,159.9552152,725,480.16963,518.6805533,547,579,1
115,129,16,192,255.1739414,867,704.1169181,318.9924293,722,362,0
-125,-125,96,192,53.15108553,617,537.5870506,281.1879102,609,317,1
-153,72,32,64,184.8548348,862,416.4080262,411.3631641,441,430,1
62,-122,16,256,67.60302837,797,771.0690462,417.0115769,782,393,0
24,-140,32,192,177.7469375,817,491.2073845,210.1687924,548,208,0
120,81,64,64,151.3016358,641,691.5281303,428.966412,718,452,1
74,-160,64,128,139.3651945,782,606.4599009,232.8253362,648,255,1
137,-89,96,256,168.8284321,600,578.2376937,252.7740018,651,294,1
-151,68,16,192,229.5326955,883,372.9867417,293.3864911,368,289,0
142,-95,64,128,356.7417016,853,860.446423,226.7123495,867,252,1
-133,100,32,192,190.4693408,1048,292.8286428,407.3807839,364,430,0
-56,160,16,64,293.4882594,1059,603.1919431,449.4277522,606,472,0
-121,-91,16,192,19.21282797,860,665.439002,314.8201242,640,312,0
102,82,16,128,353.2299842,1166,882.5363234,416.3669487,867,421,0
-137,-34,16,192,227.3607234,916,376.4237204,189.2265478,413,219,0
-122,79,32,64,182.9773146,866,446.7267675,420.1251969,457,422,1
89,-93,64,256,41.69796318,752,840.8147048,363.1250573,903,376,0
-126,-68,96,64,43.79886257,689,497.7402239,274.4365708,576,321,1
82,-150,32,64,248.7545898,1063,681.2220886,130.2685933,692,142,1
-127,36,32,256,10.16249098,1095,769.8673023,428.9121813,768,441,0
-120,-76,64,64,123.836765,742,461.2159969,291.9539831,521,328,1
-6,-176,64,64,264.3018667,1105,594.9960651,81.80648216,605,118,1
-131,13,32,128,79.68415158,809,511.4823418,458.5420913,526,460,1
-36,186,16,256,193.5500617,789,400.627931,490.9147344,384,517,0
94,-155,64,256,286.9305462,770,759.6577089,-16.41075967,790,17,1
-39,-175,96,256,302.9553293,642,640.686984,1.743136846,686,39,1
103,-141,64,128,84.2033229,704,720.1651073,277.2808781,737,308,1
-148,32,32,192,295.9750953,816,544.3441365,235.7190283,538,249,0
3,153,64,192,290.9131567,741,661.6312541,348.5011544,670,407,0
60,-165,16,64,93.96641453,1142,686.9230708,260.2202315,700,257,0
10,-184,32,128,258.2097325,916,610.2762421,46.34433389,614,70,1
-94,-116,16,64,306.8534404,1174,583.3874948,175.447113,591,183,1
-108,97,32,256,86.42998303,768,528.1352429,635.5083665,544,621,0
-107,-112,64,192,229.5928987,804,399.7075056,97.01160449,446,114,1
-86,-146,96,192,167.4068202,823,351.751369,200.4593761,435,244,1
71,-164,96,64,343.1538778,817,712.3933028,133.0438869,768,170,1
72,-143,64,128,171.6502266,892,566.8025705,201.6141604,617,216,1
-54,-171,64,128,168.1320278,838,449.6517268,178.9287172,507,192,1
-74,132,16,256,50.64209542,901,705.2733306,663.5622975,696,637,0
139,107,16,192,157.9913151,839,620.8239468,519.7015453,655,546,0
1,-155,64,256,300.6838691,818,714.273638,-4.414775263,787,31,0
-165,-28,32,128,148.2020536,1328,314.2051577,405.769421,324,420,1
149,70,32,128,86.73604202,932,779.8284408,533.7373029,825,558,0
-8,174,96,64,102.2257842,667,574.9794922,527.6307905,637,600,1
-115,111,96,64,57.18698683,633,498.8757578,456.927606,540,511,1
-116,96,16,256,207.2014631,1013,284.2129496,328.8701547,338,361,0
153,17,64,192,128.5512509,1085,631.0775608,508.0353369,651,499,0
146,27,16,192,208.0330545,1040,600.9328984,284.7206804,612,271,0
145,4,96,64,108.5705721,805,720.5157483,365.0653117,767,407,1
-41,-167,64,256,175.4334385,870,346.8081405,178.586884,384,167,0
-105,103,64,192,66.3588822,767,561.8635396,565.470193,612,568,0
-9,-175,32,256,125.9922758,691,509.2076508,314.651965,489,301,0
-174,-8,16,64,233.0396972,1031,418.1971898,291.1036747,440,306,0
-104,-132,16,192,13.12824838,1411,791.8188134,281.5296903,819,289,0
-46,-159,96,128,185.5915658,1001,418.0460512,140.4730217,480,194,1
-130,-39,64,128,328.6008965,874,574.1700853,230.2995946,611,250,1
