StartX,StartY,TargetWidth,Velocity,DirectionAngle,Duration,RectLeft,RectTop,tMouse_X,Mouse_Y,IfClick
-97,-128,16,128,8.532005124,856,643.7586202,240.3161988,635,248,0
107,116,16,192,268.8344019,1175,734.4001008,241.9199619,746,281,0
-134,-67,64,64,75.62356323,908,488.2734816,316.6866057,527,348,1
-99,143,96,128,127.132528,779,432.3945756,535.0402453,487,561,1
79,122,16,128,14.21441546,889,821.9638797,502.1078858,806,495,0
-132,94,64,128,343.2946066,708,562.5338543,396.0297205,585,433,1
-56,-131,32,256,53.94023417,746,681.6009408,369.0157879,680,359,0
-150,-71,64,256,120.1820574,802,355.4816988,433.2710259,419,437,0
-184,-10,96,64,208.1088116,804,363.1742824,278.0564358,424,328,1
68,-147,32,64,84.25555842,811,697.1186876,247.8832505,710,261,1
135,6,64,64,16.84874286,937,799.6317677,351.1507219,797,389,0
38,-143,16,256,262.7038463,850,642.2518173,-7.723885827,653,52,0
-26,-148,96,256,106.1506412,629,521.6688364,317.0809738,594,339,1
-71,-136,96,192,320.1525941,750,631.5680516,83.72307799,663,166,1
81,-150,64,64,17.26465004,735,733.443318,191.8124775,753,242,1
-152,-109,64,64,352.6087917,849,508.9639491,212.129448,538,240,1
-51,-150,16,256,15.85739606,778,771.059647,255.987155,751,256,0
66,147,16,192,37.71672128,868,829.6315992,600.7978383,817,588,0
126,90,16,128,7.443778444,1575,957.8622976,468.1128821,947,471,0
141,61,96,128,28.45018668,685,809.3555242,414.3717536,831,452,1
93,142,64,256,179.7882942,656,531.9079575,470.6247918,594,496,1
141,-126,32,64,275.3772609,820,769.8897182,166.0521424,788,196,1
-2,-165,96,256,165.0237798,797,396.1355376,198.8595983,489,251,1
37,-135,32,128,324.0271644,733,735.6258573,154.8351792,735,185,0
-175,-31,64,192,277.8414246,782,453.3795356,149.0215261,489,203,1
-45,127,32,128,254.1575495,803,550.8250804,371.7127825,573,403,0
161,83,16,64,20.65236268,4294965384,912.7744123,480.1274449,67108863,67108863,0
-12,-143,96,64,238.566583,800,553.3556129,125.40668,609,186,1
140,55,16,256,288.7062715,915,846.4284021,187.1899868,837,239,0
-85,154,96,256,351.3450756,682,680.4094166,439.6042324,690,478,1
-123,47,32,256,100.4939844,785,464.9334656,585.711694,487,571,0
-1,151,96,256,298.0214281,613,664.3439751,325.1844111,699,408,1
-136,-97,96,256,201.3280848,776,269.9736524,142.3662918,354,216,1
-69,-152,32,192,229.7014072,857,448.6551807,66.5962495,485,108,0
95,-105,64,64,118.7072466,809,678.302055,268.0981774,705,296,1
